COUNTY,TOWN,REGISTERED,NIGHT_WORK,NIGHT_WEEKEND
新北市,板橋區,557149,577007,574620
新北市,三重區,385511,426580,424259
新北市,中和區,411666,470287,466276
新北市,永和區,219395,232342,230134
新北市,新莊區,422442,446481,443620
新北市,新店區,303622,346150,343603
新北市,樹林區,183468,202270,202721
新北市,鶯歌區,87658,90900,91143
新北市,三峽區,116969,120827,121910
新北市,淡水區,182980,235166,234006
新北市,汐止區,205655,259462,259805
新北市,瑞芳區,39133,33298,34345
新北市,土城區,238165,242008,240563
新北市,蘆洲區,202443,210422,210220
新北市,五股區,89303,112579,109709
新北市,泰山區,78517,101023,98966
新北市,林口區,120735,138129,138265
新北市,深坑區,23742,30628,30581
新北市,石碇區,7574,6719,6984
新北市,坪林區,6698,3071,3786
新北市,三芝區,22527,21841,21534
新北市,石門區,11494,5102,5172
新北市,八里區,39760,47451,47345
新北市,平溪區,4431,2439,2828
新北市,雙溪區,8477,4538,5162
新北市,貢寮區,11795,6502,7553
新北市,金山區,21149,15678,17104
新北市,萬里區,21733,12752,13950
新北市,烏來區,6403,3229,3834
臺北市,松山區,200527,201847,198307
臺北市,信義區,215662,236301,234946
臺北市,大安區,302859,334939,327922
臺北市,中山區,224372,314134,308580
臺北市,中正區,155335,183571,178225
臺北市,大同區,123937,125418,125027
臺北市,萬華區,183344,183951,186390
臺北市,文山區,268450,260906,256102
臺北市,南港區,118934,123953,122662
臺北市,內湖區,282759,294476,286916
臺北市,士林區,278894,286684,283098
臺北市,北投區,250296,243777,239494
桃園市,桃園區,456744,443150,447526
桃園市,中壢區,422081,468601,468876
桃園市,大溪區,95720,89265,91840
桃園市,楊梅區,174957,181003,181317
桃園市,蘆竹區,166990,262574,199968
桃園市,大園區,93714,125738,121831
桃園市,龜山區,164392,259439,246122
桃園市,八德區,208930,199330,200933
桃園市,龍潭區,124364,130786,130755
桃園市,平鎮區,228580,225189,225231
桃園市,新屋區,49320,52784,53746
桃園市,觀音區,68952,81982,81389
桃園市,復興區,12326,6855,9511
臺中市,中區,18162,19009,20498
臺中市,東區,75859,81226,81823
臺中市,南區,126569,151530,147685
臺中市,西區,114608,133233,130641
臺中市,北區,146611,193464,190248
臺中市,西屯區,231173,349055,335409
臺中市,南屯區,175720,202124,198828
臺中市,北屯區,286584,294667,297223
臺中市,豐原區,166076,146189,147625
臺中市,東勢區,49208,36554,39307
